HLA,allele,rsid,F.Pval,F.OR,F.CI,glm.P,glm.E,glm.StdE,Case.Car,Case.Freq,Control.Car,Control.Freq,Case.Not,Control.Not,Case.Alleles,Case.Alelles.Not,Control.Alleles,Control.Alelles.Not,Case.Freq.Allele,Control.Freq.Allele,totalFreq,totalN
DRB3,03.01,DRB3:03.01,0.831423436049845,1.05031652549729,0.676-1.63,0.635664938677255,0.105261306257818,0.222178737648184,56,0.23,57,0.221,188,201,62,426,58,458,0.127,0.112,0.225099601593625,502
B,13.01,B:13.01,0.766740810001177,0.876196854362435,0.467-1.64,0.643116535205847,-0.141250357863034,0.304848697348768,24,0.104,27,0.117,206,203,25,435,28,432,0.0543,0.0609,0.110869565217391,460
DPA1,02.01,DPA1:02.01,0.738584835474566,1.08230021552726,0.682-1.72,0.649342521393763,0.102869616146537,0.226248295911873,50,0.205,50,0.192,194,210,52,436,51,469,0.107,0.0981,0.198412698412698,504
A,68.01,A:68.01,1,1.07215938863617,0.142-8.09,0.659833907527401,0.371287559245598,0.843562177133988,3,0.0126,3,0.0118,235,252,3,473,3,507,0.0063,0.00588,0.0121703853955375,493
A,24.02,A:24.02,0.707165937729197,0.917319911661626,0.624-1.35,0.680741373337547,-0.0824905399106652,0.200486584569563,83,0.349,94,0.369,155,161,98,378,104,406,0.206,0.204,0.359026369168357,493
B,57.01,B:57.01,1,0.829967017509279,0.197-3.32,0.69076817869186,-0.247734269552161,0.622740815149288,5,0.0217,6,0.0261,225,224,5,455,6,454,0.0109,0.013,0.0239130434782609,460
DQB1,04.02,DQB1:04.02,0.751795212382412,0.686794812807639,0.141-2.94,0.69241145332111,-0.263889734781466,0.667087881644875,4,0.0165,6,0.0239,238,245,4,480,6,496,0.00826,0.012,0.0202839756592292,493
DPB1,19.01,DPB1:19.01,0.789295476930101,0.798645507092801,0.225-2.67,0.701102564786977,-0.212555717678793,0.553772003977135,6,0.0251,8,0.0312,233,248,6,472,9,503,0.0126,0.0176,0.0282828282828283,495
B,15.11,B:15.11,1,0.796854666057807,0.156-3.75,0.711145083038728,-0.254230838386408,0.686519141774765,4,0.0174,5,0.0217,226,225,4,456,5,455,0.0087,0.0109,0.0195652173913044,460
A,01.01,A:01.01,0.816121208725579,1.1983867325917,0.429-3.4,0.712873348165502,0.175401383375152,0.476634391932065,10,0.042,9,0.0353,228,246,10,466,9,501,0.021,0.0176,0.0385395537525355,493
DQA1,05.05,DQA1:05.05,0.684142445233787,1.14327688807546,0.648-2.02,0.721669201858867,0.0991185901062812,0.278244154687493,32,0.133,30,0.119,208,223,36,444,31,475,0.075,0.0613,0.125760649087221,493
B,07.02,B:07.02,0.545500380019524,0.720454259089278,0.292-1.72,0.723710219305681,-0.149136885364415,0.421881093018295,11,0.0478,15,0.0652,219,215,11,449,15,445,0.0239,0.0326,0.0565217391304348,460
DRB1,11.01,DRB1:11.01,0.629487096526406,1.19813392868874,0.605-2.39,0.724431359293499,0.116607810114385,0.330762303950404,22,0.094,20,0.0797,212,231,23,445,21,481,0.0491,0.0418,0.0865979381443299,485
DQB1,03.01,DQB1:03.01,0.699501882752059,1.09508027972175,0.737-1.63,0.734548444552216,0.0670165342168342,0.197641461008136,80,0.331,78,0.311,162,173,98,386,84,418,0.202,0.167,0.320486815415822,493
B,40.06,B:40.06,0.819847419696538,0.811148016963338,0.291-2.2,0.747008958758846,-0.150618149841914,0.466908821514257,9,0.0391,11,0.0478,221,219,9,451,11,449,0.0196,0.0239,0.0434782608695652,460
DRB1,13.01,DRB1:13.01,1,1.07309094923813,0.0772-14.9,0.778680118887599,0.284677741561164,1.01294573093258,2,0.00855,2,0.00797,232,249,2,466,2,500,0.00427,0.00398,0.00824742268041237,485
DQB1,06.04,DQB1:06.04,1,1.0375902814651,0.138-7.82,0.782253004981273,0.230844184550023,0.835229365198041,3,0.0124,3,0.012,239,248,4,480,3,499,0.00826,0.00598,0.0121703853955375,493
DPB1,13.01,DPB1:13.01,1,0.989129782387948,0.589-1.66,0.784189657386132,-0.0697972113027947,0.254861476939833,37,0.155,40,0.156,202,216,37,441,41,471,0.0774,0.0801,0.155555555555556,495
B,52.01,B:52.01,1,1.07145761798319,0.483-2.39,0.784209484798383,0.10856924050659,0.396473202805282,16,0.0696,15,0.0652,214,215,18,442,15,445,0.0391,0.0326,0.0673913043478261,460
DQB1,02.02,DQB1:02.02,0.586192256917007,0.79520489626102,0.357-1.74,0.793969513810835,-0.0984988140372583,0.377159614928954,14,0.0579,18,0.0717,228,233,14,470,19,483,0.0289,0.0378,0.0649087221095335,493
B,44.02,B:44.02,1,0.498546587189259,0.00841-9.64,0.798737076351881,-0.317840190525715,1.24652058153941,1,0.00435,2,0.0087,229,228,1,459,2,458,0.00217,0.00435,0.00652173913043478,460
B,51.02,B:51.02,0.787268688582699,1.34447788017182,0.402-4.78,0.805124301289233,0.137201000510298,0.5560982117111,8,0.0348,6,0.0261,222,224,8,452,6,454,0.0174,0.013,0.0304347826086957,460
A,26.01,A:26.01,0.500290298824719,0.763726439490031,0.365-1.57,0.805484320721088,-0.0884157930654863,0.359040633345149,16,0.0672,22,0.0863,222,233,16,460,23,487,0.0336,0.0451,0.077079107505071,493
DPA1,01.03,DPA1:01.03,0.858297763705864,0.963407207517466,0.668-1.39,0.806894436965555,0.0450226660239547,0.184191236079091,131,0.537,142,0.546,113,118,160,328,163,357,0.328,0.313,0.541666666666667,504
DRB1,04.06,DRB1:04.06,1,1.07503559481164,0.345-3.35,0.811701354936231,0.122952147750172,0.516103118346398,8,0.0342,8,0.0319,226,243,8,460,8,494,0.0171,0.0159,0.0329896907216495,485
B,35.03,B:35.03,1,1,0.0127-78.8,0.844661363162598,0.280667427397825,1.43245471655696,1,0.00435,1,0.00435,229,229,1,459,1,459,0.00217,0.00217,0.00434782608695652,460
DRB5,01.02,DRB5:01.02,1,1.06104005623377,0.443-2.54,0.855311922382021,0.0775000160146301,0.425018408591154,13,0.0537,13,0.0508,229,243,14,470,13,499,0.0289,0.0254,0.0522088353413655,498
DQA1,05.08,DQA1:05.08,1,1.05476172892297,0.14-7.95,0.863190451818118,0.143656216422427,0.833687198692366,3,0.0125,3,0.0119,237,250,3,477,3,503,0.00625,0.00593,0.0121703853955375,493
C,15.02,C:15.02,1,0.979547441092884,0.399-2.38,0.863230899076942,0.072783009546197,0.422511382444828,12,0.0498,13,0.0508,229,243,12,470,13,499,0.0249,0.0254,0.0503018108651912,497
DQA1,01.02,DQA1:01.02,0.923890827682807,1.02405436640585,0.691-1.52,0.867195139280651,0.032699580681222,0.195545575259702,80,0.333,83,0.328,160,170,94,386,93,413,0.196,0.184,0.330628803245436,493
DQB1,06.03,DQB1:06.03,1,0.689405456714996,0.0571-6.07,0.869298522800592,-0.15265227863239,0.927697795462554,2,0.00826,3,0.012,240,248,2,482,3,499,0.00413,0.00598,0.0101419878296146,493
C,08.01,C:08.01,0.728001143999444,1.1058715000032,0.684-1.79,0.871552757940672,0.0380604392948783,0.23539655955189,46,0.191,45,0.176,195,211,47,435,49,463,0.0975,0.0957,0.183098591549296,497
DRB1,04.01,DRB1:04.01,1,1.07309094923813,0.0772-14.9,0.879216100199567,0.153848549984325,1.01240780081744,2,0.00855,2,0.00797,232,249,2,466,2,500,0.00427,0.00398,0.00824742268041237,485
DRB1,14.03,DRB1:14.03,1,1.07277659082148,0.0136-84.5,0.88024921615381,0.215305868480736,1.42914806806824,1,0.00427,1,0.00398,233,250,1,467,1,501,0.00214,0.00199,0.00412371134020619,485
A,74.02,A:74.02,1,1.07154916524574,0.0136-84.4,0.883126289986095,-0.209689976700937,1.42639198091284,1,0.0042,1,0.00392,237,254,1,475,1,509,0.0021,0.00196,0.00405679513184584,493
DQB1,05.01,DQB1:05.01,1,1.00772478423418,0.581-1.75,0.883206194996433,0.0396144423718761,0.26965838834694,33,0.136,34,0.135,209,217,33,451,36,466,0.0682,0.0717,0.135902636916836,493
C,04.01,C:04.01,0.864392649060813,1.06709395640703,0.509-2.24,0.890867022484573,0.0486900446756234,0.354865093150352,18,0.0747,18,0.0703,223,238,19,463,18,494,0.0394,0.0352,0.0724346076458753,497
C,06.02,C:06.02,1,0.946748778578585,0.45-1.98,0.894060593081346,0.0471627655350561,0.354160153257284,17,0.0705,19,0.0742,224,237,18,464,19,493,0.0373,0.0371,0.0724346076458753,497
A,02.06,A:02.06,1,0.980360703512034,0.508-1.88,0.897005504154791,0.041214644263847,0.318394908288228,22,0.0924,24,0.0941,216,231,23,453,25,485,0.0483,0.049,0.0933062880324544,493
DPB1,104.0,DPB1:104.0,0.773276368184433,0.760492436359962,0.188-2.83,0.898271973380369,-0.0775896634720134,0.606906184402814,5,0.0209,7,0.0273,234,249,5,473,8,504,0.0105,0.0156,0.0242424242424242,495
