HLA,allele,rsid,F.Pval,F.OR,F.CI,glm.P,glm.E,glm.StdE,Case.Car,Case.Freq,Control.Car,Control.Freq,Case.Not,Control.Not,Case.Alleles,Case.Alelles.Not,Control.Alleles,Control.Alelles.Not,Case.Freq.Allele,Control.Freq.Allele,totalFreq,totalN
hap,03.02_03.01_08.02,hap:03.02_03.01_08.02,0.612669269905138,2.13735911269139,0.111-127,0.531618867425181,0.778679380977332,1.24481805400857,2,0.0082,1,0.00385,242,259,2,486,1,519,0.0041,0.00192,0.00595238095238095,504
B,18.02,B:18.02,0.611857286252099,2.14705676821831,0.111-127,0.549184871028609,0.742918254310768,1.24030141624561,2,0.00877,1,0.0041,226,243,2,454,1,487,0.00439,0.00205,0.00635593220338983,472
DRB1,04.03,DRB1:04.03,0.419505327087206,0.702889287440598,0.276-1.71,0.554690027017683,-0.252828372707231,0.427980880164902,10,0.0427,15,0.0598,224,236,10,458,16,486,0.0214,0.0319,0.0515463917525773,485
C,03.04,C:03.04,0.668929632051323,1.11664407877546,0.718-1.74,0.562363069634391,0.125929586049917,0.217369154289922,57,0.236,56,0.216,185,203,62,422,61,457,0.128,0.118,0.225548902195609,501
DPA1,02.01,DPA1:02.01,0.659553109491964,1.10965493519502,0.703-1.75,0.563655722116682,0.129012107850326,0.223428514902277,52,0.213,51,0.196,192,209,54,434,52,468,0.111,0.1,0.204365079365079,504
DRB1,16.02,DRB1:16.02,0.864567221581291,0.905032282449028,0.433-1.87,0.564743308568575,-0.203684130279519,0.353734687963238,17,0.0726,20,0.0797,217,231,18,450,20,482,0.0385,0.0398,0.0762886597938144,485
hap,03.01_05.07_14.03,hap:03.01_05.07_14.03,0.686582122552422,0.529570462721394,0.0475-3.73,0.573217746637121,-0.499333386265742,0.886413328561449,2,0.0082,4,0.0154,242,256,2,486,4,516,0.0041,0.00769,0.0119047619047619,504
DQA1,05.07,DQA1:05.07,0.686838229685594,0.533977381078756,0.0479-3.76,0.57610397289739,-0.495694438130744,0.886617916696548,2,0.00826,4,0.0154,240,256,2,482,4,516,0.00413,0.00769,0.0119521912350598,502
DRB5,01.01,DRB5:01.01,0.833801331435746,0.951599323558601,0.616-1.47,0.578326416745448,-0.121134458547104,0.217933988339693,56,0.23,62,0.239,187,197,64,422,68,450,0.132,0.131,0.235059760956175,502
hap,05.01_01.01_15.02,hap:05.01_01.01_15.02,0.812891520095812,0.847735626140762,0.285-2.43,0.580380479933213,-0.2761355405385,0.499495358638544,8,0.0328,10,0.0385,236,250,8,480,10,510,0.0164,0.0192,0.0357142857142857,504
DPB1,10.01,DPB1:10.01,0.613347232491209,2.12911747243997,0.11-126,0.583237687565947,0.677420763453031,1.23467859791892,2,0.0082,1,0.00386,242,258,2,486,1,517,0.0041,0.00193,0.00596421471172962,503
DRB1,14.03,DRB1:14.03,0.686718136643412,0.532994962091821,0.0478-3.76,0.58988506122721,-0.477974199746176,0.886775315436956,2,0.00855,4,0.0159,232,247,2,466,4,498,0.00427,0.00797,0.0123711340206186,485
B,51.02,B:51.02,1,0.533724226592232,0.009-10.3,0.595812789793272,-0.655299538532045,1.23540841146164,1,0.00439,2,0.0082,227,242,1,455,2,486,0.00219,0.0041,0.00635593220338983,472
B,07.06,B:07.06,0.676188170304959,1.61170197846629,0.183-19.5,0.604879200057932,0.477173568134448,0.922258462731647,3,0.0132,2,0.0082,225,242,3,453,2,486,0.00658,0.0041,0.010593220338983,472
DRB1,15.01,DRB1:15.01,0.480182780071446,1.1843892100259,0.725-1.94,0.606930583017281,0.124714636708097,0.24241863977579,45,0.192,42,0.167,189,209,48,420,45,457,0.103,0.0896,0.179381443298969,485
DQA1,01.02,DQA1:01.02,0.633377466698974,0.908821764220729,0.613-1.35,0.609856182503821,-0.0995857221224538,0.19515945079718,75,0.31,86,0.331,167,174,88,396,94,426,0.182,0.181,0.320717131474104,502
DQB1,05.01,DQB1:05.01,0.889007717824341,1.07963293585364,0.601-1.94,0.614104447461483,0.144000147861466,0.285588030481958,29,0.12,29,0.112,213,230,29,455,31,487,0.0599,0.0598,0.115768463073852,501
hap,05.03_01.04_14.05,hap:05.03_01.04_14.05,0.644493888182043,0.767736292059401,0.263-2.14,0.62263513523144,-0.234596241197407,0.476706209570692,8,0.0328,11,0.0423,236,249,8,480,11,509,0.0164,0.0212,0.0376984126984127,504
B,40.06,B:40.06,0.552163556333419,0.774305572796905,0.314-1.85,0.625345081122261,-0.202665058012194,0.415051366216749,11,0.0482,15,0.0615,217,229,11,445,15,473,0.0241,0.0307,0.0550847457627119,472
DRB5,01.02,DRB5:01.02,0.768101558489948,1.12121742394837,0.602-2.09,0.637735104112483,0.146099324299075,0.31027669987352,26,0.107,25,0.0965,217,234,28,458,25,493,0.0576,0.0483,0.101593625498008,502
DRB3,03.01,DRB3:03.01,0.829981490535781,1.05993794394356,0.68-1.65,0.639933583237829,0.104312487904327,0.222989198354426,55,0.225,56,0.215,189,204,61,427,57,463,0.125,0.11,0.220238095238095,504
DPB1,26.01,DPB1:26.01,0.613347232491209,2.12911747243997,0.11-126,0.640802605368286,0.577836572026419,1.23845940840719,2,0.0082,1,0.00386,242,258,2,486,1,517,0.0041,0.00193,0.00596421471172962,503
A,68.01,A:68.01,1,1.07544764912165,0.143-8.11,0.64311844222643,0.391552120750363,0.845058669284693,3,0.0124,3,0.0116,238,256,3,479,3,515,0.00622,0.00579,0.012,500
DRB5,01.08,DRB5:01.08,1,0.850483591051605,0.167-4,0.64731247059808,-0.314738355836741,0.687954298086253,4,0.0165,5,0.0193,239,254,4,482,5,513,0.00823,0.00965,0.0179282868525896,502
