sample.id,C.1,C.2,C.prob,matching
HG01595,01:02,07:06,0.980365331572724,0.000121257597744517
HG01596,03:04,12:02,0.955450849112684,3.47664664509097e-06
HG01597,07:02,07:02,0.999999996959468,4.31539996263233e-05
HG01598,06:02,07:02,0.999999304585199,3.8157555331551e-06
HG01599,07:02,14:02,0.999794593071072,5.7133336970192e-06
HG01600,07:04,14:02,0.988339305964839,5.74725378291501e-06
HG01794,01:02,08:01,0.731191800639846,4.0938402148078e-05
HG01795,03:02,12:02,0.82720747721701,3.71496765670003e-07
HG01796,01:02,08:01,0.868279455903333,0.000327206264070535
HG01797,01:02,03:02,0.912074567477281,0.000359113396650435
HG01798,03:02,14:02,0.984119359969621,0.000139696671530285
HG01799,03:04,12:02,0.978302338836354,6.03344497495182e-06
HG01800,03:02,03:04,0.999896103418867,8.05142621684379e-05
HG01801,03:02,07:02,0.997996961048443,4.87493832591704e-05
HG01802,01:02,03:02,0.912074567477281,0.000359113396650435
HG01804,01:02,01:02,0.826149936357785,0.000263645031172616
HG01805,01:02,07:06,0.910531786760292,2.06505637695986e-05
HG01806,03:04,03:04,0.667911646560087,1.15955698850383e-05
HG01807,01:02,08:01,0.999331641833046,0.00011638221110425
HG01808,03:03,03:04,0.94861310639402,6.04022355076278e-05
HG01809,01:02,03:04,0.870490163550118,0.000104588898264697
HG01810,01:02,03:02,0.912074567477281,0.000359113396650435
HG01811,01:02,03:04,0.911482629293259,0.000151831205049832
HG01812,01:02,08:01,0.870985245260247,5.87637881036338e-05
HG01813,08:01,14:02,0.942953770490092,8.34616518768446e-06
HG01815,01:02,03:04,0.740909426714088,5.82520206969017e-05
HG01816,03:03,08:01,0.958841260425819,0.000113139056133721
HG01817,01:02,03:04,0.734438126392125,9.53459256880975e-05
HG01840,04:03,14:02,0.82165620350934,6.66451820764027e-08
HG01841,15:05,15:05,0.999999524271863,1.28757349182255e-05
HG01842,01:02,07:01,0.858377021155304,7.7224076824387e-05
HG01843,07:04,07:06,0.95212347443029,2.31954629693474e-06
HG01844,08:01,15:05,0.999999638263876,3.60217048806756e-05
HG01845,04:01,07:02,0.996391638802938,0.00012630937161025
HG01846,03:04,12:03,0.650805421784659,7.57746588854416e-07
HG01847,01:02,07:02,0.921283666182059,0.000327252763258075
HG01848,08:01,12:02,0.966796240048561,8.86322380090106e-06
HG01849,06:02,08:01,0.755356127580467,1.67253812070763e-05
HG01850,08:01,15:05,0.977156874017733,4.2055741759369e-05
HG01851,04:01,07:02,0.998048337108816,5.64977909585119e-05
HG01852,07:02,08:01,0.921112999385028,2.25172896663958e-06
HG01853,01:02,14:02,0.962433515092143,6.45131543773549e-05
HG01855,07:02,07:02,0.999999906277492,1.38075536152332e-05
HG01857,03:04,08:01,0.942701878716217,1.30695927705027e-05
HG01858,03:03,03:04,0.624271701729768,2.31278705130133e-05
HG01859,08:01,15:05,0.984183302638119,1.16230302679948e-05
HG01860,07:02,15:05,0.999999268066594,6.0673298603344e-05
HG01861,07:02,08:01,0.997591568204897,5.90119895604405e-05
HG01862,01:02,14:02,0.916675757402616,0.000203100710883201
HG01863,01:02,07:02,0.83770331969051,1.32877252872796e-10
HG01864,01:02,03:02,0.999876694103849,0.000107424153417246
HG01865,04:03,06:02,0.620169531488567,5.42803190199383e-07
HG01866,03:02,04:03,0.85101478010182,1.0987500820197e-06
HG01867,03:02,15:05,0.802630169853245,1.30058323363827e-06
HG01868,01:02,03:03,0.878008161612956,0.000240255250108909
HG01869,04:03,08:01,0.998020119791672,2.61313932084713e-05
HG01870,04:03,15:05,0.999999843227938,7.28781877047755e-06
HG01871,08:01,08:01,0.622107379081673,3.97798779027633e-05
HG01872,05:01,12:02,0.241611325193075,1.20111205170378e-17
HG01873,04:01,12:03,0.492045865888184,1.58705180692153e-06
HG01874,03:04,06:02,0.811347140452968,3.21296925636835e-05
HG01878,01:02,03:02,0.726710690394413,4.37864867344793e-05
HG02016,03:02,06:02,0.99820017649281,0.000231260449152252
HG02017,06:02,12:03,0.887905242999149,3.74432595239572e-07
HG02019,03:04,07:02,0.999999946206924,1.21787976642964e-05
HG02020,01:02,07:06,0.928055151540902,0.000118542227801668
HG02023,01:02,12:02,0.914149299769579,0.000246691743239571
HG02025,01:02,07:02,0.902282402369757,9.45316902299798e-05
HG02026,07:02,15:05,0.988372471706444,1.5759898388271e-05
HG02028,01:02,04:03,0.911343083051345,3.46005590037636e-05
HG02029,07:02,08:01,0.999661339032306,4.02062152699137e-05
