sample.id,DRB4.1,DRB4.2,DRB4.prob,matching
HG00592,00:00,01:01,0.989153805884251,1.23705798433401e-05
HG00593,00:00,01:03,0.909530168002839,9.19642659551841e-06
HG00595,00:00,01:03,0.932360895113718,6.62815750504787e-07
HG00596,00:00,01:03,0.978497769015861,5.35860301239048e-05
HG00598,00:00,01:03,0.972556268069866,9.42424210780938e-07
HG00599,00:00,01:03,0.962182318985701,4.61824119326899e-06
HG00607,00:00,00:00,0.999999728062139,6.20912039774724e-05
HG00608,00:00,01:03,0.923416708647022,1.56734747718675e-06
HG00610,00:00,00:00,0.99999928531475,1.90088800284887e-07
HG00611,00:00,01:03,0.952496763720529,2.2149317156617e-05
HG00613,01:03,01:03,0.936350549420303,3.84710013710468e-06
HG00614,00:00,01:03,0.973759915948045,3.21363206535573e-07
HG00619,00:00,01:03,0.988546444380307,1.05901085405555e-05
HG00620,00:00,00:00,0.967408199647741,7.15790401811854e-06
HG00622,00:00,00:00,0.99704504509965,0.000108359379792383
HG00623,00:00,00:00,0.982671734820007,2.94137430861996e-06
HG00625,00:00,01:03,0.930589048552295,7.02588916002199e-06
HG00626,00:00,01:03,0.998764460534771,5.11948226335728e-05
HG00628,00:00,01:03,0.960897674074923,1.4309301654425e-05
HG00629,00:00,00:00,0.99903432334999,4.64967602097925e-05
HG00631,00:00,01:03,0.929908078493864,8.04463875910219e-07
HG00632,00:00,00:00,0.999999924720602,1.22935531900473e-05
HG00634,00:00,01:03,0.958241188036438,6.52935161401709e-06
HG00650,00:00,00:00,0.995121120694408,3.23252498344146e-05
HG00651,00:00,01:03,0.993482713093039,2.09427058465758e-05
HG00653,00:00,00:00,0.99999996314574,1.46389041636319e-05
HG00654,00:00,00:00,0.999999978312039,1.55147338707782e-05
HG00656,00:00,00:00,0.990969968694196,4.78792104990859e-05
HG00657,00:00,01:03,0.907609784671168,4.6608057378558e-07
HG00662,00:00,01:03,0.984424304852485,9.40311659961802e-06
HG00663,00:00,01:03,0.945363680346987,2.8906517944553e-06
HG00671,00:00,00:00,0.999999699973707,4.44777405934996e-05
HG00672,00:00,00:00,0.999999999996585,1.33305294485314e-05
HG00674,01:03,01:03,0.942929862485794,3.92053705218607e-06
HG00675,00:00,00:00,0.99999992381044,1.86392843553109e-05
HG00683,00:00,01:03,0.966027274591589,4.11149117059177e-06
HG00684,00:00,00:00,0.999999603616962,2.37531201046011e-05
HG00689,01:03,01:03,0.82991905643674,3.42424374003371e-09
HG00690,00:00,01:03,0.955095165654893,2.8506033754898e-07
HG00692,00:00,01:03,0.997985769785562,3.52659695120902e-05
HG00693,00:00,00:00,0.999871802036346,2.07018590386423e-05
HG00698,00:00,00:00,0.99844555058632,2.09309494302417e-06
HG00699,00:00,00:00,0.9883949198883,5.19891528426344e-06
HG00701,00:00,01:03,0.988174326476412,3.21711705101376e-06
HG00704,00:00,00:00,0.99981245432766,1.37369847427421e-05
HG00705,00:00,00:00,0.976395968202043,1.05757564899832e-05
HG00707,00:00,00:00,0.999996199936061,8.29647937698084e-07
HG00708,01:03,01:03,0.999999635843916,1.59762970132563e-05
HG00717,00:00,00:00,0.999999803833579,1.63518017142978e-05
HG00728,00:00,01:03,0.994714532894711,0.000145843251989466
HG00729,00:00,01:03,0.974957883027054,1.19295116496267e-05
HG00759,00:00,00:00,0.999724722281359,4.54391446837868e-06
HG00766,00:00,00:00,0.999999974563501,7.44311302747778e-06
HG00844,00:00,00:00,0.998773998944798,5.64203253290416e-06
HG00851,00:00,00:00,0.99693710205991,2.95065837467374e-06
HG00864,00:00,01:03,0.921299144819685,3.19303521895048e-06
HG00867,00:00,01:03,0.903515764857942,2.10725766264216e-06
HG00879,01:03,01:03,0.882704103938153,2.20872598638879e-06
HG00881,00:00,01:03,0.984260366018863,9.59337621640113e-06
HG00956,00:00,01:03,0.985534543639192,2.29415865810486e-06
HG00978,00:00,01:03,0.991963776733293,4.35071132111478e-06
HG00982,00:00,01:03,0.997127448250583,1.65167029682306e-05
HG01028,00:00,00:00,0.999993787704333,6.4391733006531e-07
HG01029,00:00,00:00,0.980626266826061,1.96124040121909e-05
HG01031,00:00,00:00,0.995657210741392,6.424286637872e-06
HG01046,00:00,00:00,0.999999999970935,2.3002395680644e-06
HG01595,01:03,01:03,0.997393592619163,0.000107783657999084
HG01596,00:00,00:00,0.99993554166822,2.03590675499813e-05
HG01597,00:00,00:00,0.999999986539612,2.92748977892074e-06
HG01598,00:00,01:03,0.97820491581347,2.68996925018003e-06
HG01599,00:00,01:03,0.701532738390505,3.82795344985018e-07
HG01600,00:00,01:03,0.948915163112549,1.02853308957104e-08
HG01794,00:00,01:03,0.968472007180206,3.04703629350233e-05
HG01795,00:00,00:00,0.992110194440347,2.96434874614893e-07
HG01796,00:00,00:00,0.999999977590253,2.19334841614514e-06
HG01797,00:00,01:03,0.941001661996654,2.42083064760197e-06
HG01798,00:00,01:03,0.990227482518207,1.41337040003004e-05
HG01799,00:00,00:00,0.999353598723719,2.61623606466217e-06
HG01800,00:00,00:00,0.99999949169182,4.18640663015086e-05
HG01801,00:00,00:00,0.994422382399323,6.83711440395352e-06
HG01802,00:00,00:00,0.993140818922637,7.95977050955682e-06
HG01804,01:03,01:03,0.92714739452061,1.13153141694749e-06
HG01805,00:00,01:03,0.978009395500365,3.20370493481359e-06
HG01806,00:00,00:00,0.992238840208868,7.35000133619652e-06
HG01807,00:00,01:03,0.990481421770113,2.02100929413148e-05
HG01808,00:00,00:00,0.980104688974453,2.0819145739051e-05
HG01809,00:00,01:03,0.922501267321993,2.42301913637894e-08
HG01810,00:00,01:03,0.923273946834311,1.3856258846841e-05
HG01811,00:00,01:03,0.962779496039247,1.9975606852648e-06
HG01812,00:00,00:00,0.999999969002405,5.01808686246749e-06
HG01813,00:00,00:00,0.989598078976361,3.64854901102596e-07
HG01815,00:00,01:03,0.902645413730478,1.11325498384502e-07
HG01816,00:00,00:00,0.999999990324509,1.23634124101107e-05
HG01817,00:00,01:03,0.856109902727845,5.66550847274267e-12
HG01840,00:00,00:00,0.958868955304917,2.62088673875983e-08
HG01841,00:00,00:00,0.9968542047166,1.82732597780296e-06
HG01842,00:00,01:03,0.999999748601171,1.06370057420042e-05
HG01843,00:00,01:03,0.987866564588827,1.29674494916987e-05
HG01844,00:00,00:00,0.988334646011223,4.50600159973185e-07
HG01845,00:00,00:00,0.999999993617298,2.50662533434785e-06
HG01846,00:00,01:03,0.980174834833248,4.06033972418079e-07
HG01847,00:00,00:00,0.994428430030912,7.25841446709903e-12
HG01848,00:00,01:03,0.951961111566932,3.29314722914606e-06
HG01849,00:00,00:00,0.997269681505407,5.30699082918087e-05
HG01850,00:00,00:00,0.999999901093274,2.89317837544925e-06
HG01851,00:00,00:00,0.992819285835309,3.42584439232633e-07
HG01852,00:00,01:03,0.996968587490289,1.74385051677557e-05
HG01853,00:00,01:03,0.974817631474152,5.22598693398826e-06
HG01855,00:00,00:00,0.999870658252141,3.22325626959448e-05
HG01857,00:00,00:00,0.999999868702792,1.32830374052347e-06
HG01858,00:00,00:00,0.999999972561269,1.60761202650738e-05
HG01859,00:00,01:03,0.981619634274579,1.73271560022631e-05
HG01860,00:00,00:00,0.999997592251043,3.80416420073953e-05
HG01861,00:00,00:00,0.999999970493087,9.33458258757389e-06
HG01862,00:00,01:03,0.994460949032187,2.67568050908212e-07
HG01863,00:00,01:03,0.95924391613641,7.60425503947272e-07
HG01864,00:00,00:00,0.999999927913273,3.72046580916104e-05
HG01865,00:00,01:03,0.907549040225823,2.9541193575941e-07
HG01866,00:00,00:00,0.999997617277548,3.0551559495287e-05
HG01867,00:00,00:00,0.920204687860985,1.01058266536789e-07
HG01868,00:00,01:03,0.972464260753044,5.05218511338272e-07
HG01869,00:00,00:00,0.999171786755458,1.94196663153627e-06
HG01870,00:00,00:00,0.999998230411763,4.67470378683153e-06
HG01871,00:00,00:00,0.99999968721182,4.82130864221489e-05
HG01872,00:00,00:00,0.999475654343671,2.52349650968297e-05
HG01873,00:00,00:00,0.99999966144113,1.77870853642703e-06
HG01874,00:00,01:03,0.967639859074113,5.48555996052605e-06
HG01878,00:00,00:00,0.990510289391291,3.36909302466483e-06
HG02016,01:03,01:03,0.834698051560741,2.4902922497624e-07
HG02017,00:00,01:03,0.941243293849332,2.5576313283003e-11
HG02019,00:00,00:00,0.987675018993188,1.1462024008592e-05
HG02020,00:00,01:03,0.938962801527487,3.60047127916544e-06
HG02023,01:03,01:03,0.997012637370904,3.63695706229112e-05
HG02025,00:00,00:00,0.998377484351459,1.71433694899459e-05
HG02026,00:00,00:00,0.998643252677831,2.9625326090829e-06
