sample.id,A.1,A.2,A.prob,matching
HG00631,02:01,24:02,0.788855482213375,0.000122905383728523
HG00632,24:02,24:02,0.884017122600787,0.000959572540988693
HG00634,11:01,24:02,0.947619196762747,0.000223092695979623
HG00650,02:01,11:01,0.552420329963484,0.00010383301637188
HG00651,02:01,11:01,0.924011751584857,4.51318570665893e-06
HG00653,02:07,33:03,0.98466344665962,0.000310944360474166
HG00654,11:01,24:02,0.935641322166561,0.000232013401507635
HG00656,11:01,11:01,0.759135932377938,2.41951959601742e-05
HG00657,02:07,11:01,0.851770759862238,1.61649380118628e-05
HG00662,02:06,02:07,0.786510375070969,3.62735380070175e-06
HG00663,24:02,24:02,0.41439454830017,3.26940636586291e-08
HG00671,02:06,24:02,0.917970482302673,3.45486776429062e-05
HG00672,02:03,31:01,0.811264055840894,7.6336896803861e-05
HG00674,02:06,02:06,0.824003110475556,6.49453653907415e-06
HG00675,11:01,33:03,0.960896138747113,1.62489061534778e-05
HG00683,02:07,11:02,0.606830999630113,0.000102923495377447
HG00684,02:01,11:01,0.873347686600526,0.000119207366510315
HG00689,11:01,24:02,0.734097265799425,1.88684204436435e-05
HG00690,24:02,24:02,0.794171353611677,9.04884025587334e-05
HG00692,02:01,11:01,0.855322696491887,1.95298655435592e-05
HG00693,02:07,24:02,0.9747041626316,0.000120299893702844
HG00698,02:01,02:03,0.788811014247041,0.000722207870209254
HG00699,02:01,33:03,0.973260633804248,7.04328906073369e-05
HG00701,11:01,24:02,0.935026712281823,0.000184399877836084
HG00704,02:01,02:03,0.801044206363907,0.000623713782502164
HG00705,11:01,24:02,0.955349648742471,0.000124185522041054
HG00707,02:07,11:01,0.751470404148173,1.4858050938425e-06
HG00708,01:01,02:07,0.963650851707176,4.82698477036899e-05
HG00717,11:01,24:02,0.818107767464583,0.000318389235092703
HG00728,11:01,11:01,0.999999257002373,3.00810823070694e-05
HG00729,11:01,24:02,0.950406631635744,0.000207588262544592
HG00759,02:01,11:01,0.553422872424603,0.000407661570320544
HG00766,11:01,11:01,0.504661230199855,2.17647812681935e-05
HG00844,02:01,02:03,0.768025584847971,0.000129308558053653
HG00851,02:07,24:02,0.982637518852455,5.34113803918033e-05
HG00864,11:01,26:01,0.751966785639833,2.58609218174454e-05
HG00867,02:01,24:02,0.723192948217814,0.000192215336275798
HG00879,02:07,24:02,0.884020258381085,0.000143142417522562
HG00881,02:07,02:07,0.872083218569381,4.18388592585046e-05
HG00956,02:03,02:07,0.800393385589652,0.000196791811792387
HG00978,02:07,11:01,0.996309732291086,8.04975694140174e-05
HG00982,02:03,02:07,0.800393786446931,0.0002028644332641
HG01028,02:03,33:03,0.816577652036501,0.00050926434003464
HG01029,02:01,11:01,0.216070980158585,2.62008661660912e-22
HG01031,11:01,33:03,0.99988841784025,7.22421124469542e-05
HG01046,02:01,11:01,0.170749626869568,1.44587842671721e-11
HG01595,11:01,33:03,0.999999947292005,5.99656561559597e-05
HG01596,11:02,24:02,0.31225491609183,2.14880272474916e-06
HG01597,02:01,11:01,0.51771934638418,6.38432183535655e-05
HG01598,11:01,24:02,0.934359392462674,8.21489453019581e-05
HG01599,11:01,24:02,0.993788425063957,0.000135808851171917
HG01600,02:01,11:01,0.467453143350314,0.00035442875148965
HG01794,02:07,24:02,0.951513996109543,0.000541876904820917
HG01795,11:01,33:03,0.912190020681663,1.02637570084885e-05
HG01796,02:07,11:01,0.958071604430902,3.98341739482698e-05
HG01797,02:07,33:03,0.997505247433624,0.000350054246847597
