sample.id,DPB1.1,DPB1.2,DPB1.prob,matching
NA18550,03:01,05:01,0.919439839877272,0.00050098116633984
NA18552,02:01,21:01,0.602367886216757,6.62004287912938e-06
NA18553,02:01,05:01,0.89663269879224,3.60728422883568e-06
NA18555,05:01,05:01,0.991094658966897,0.00273148209433554
NA18557,05:01,05:01,0.992249187144055,0.00349633513644428
NA18558,05:01,13:01,0.994194504490208,0.000130094068123017
NA18559,02:01,05:01,0.922449981346403,0.00106573383206803
NA18560,02:01,14:01,0.945375300438741,5.13039371909016e-06
NA18561,04:02,05:01,0.986338264709334,0.00208799898932294
NA18562,02:01,02:02,0.795516381159223,0.000103749056176892
NA18563,04:02,04:02,0.994231850568222,2.55291070894518e-05
NA18564,05:01,17:01,0.981935425479698,0.000342860854013372
NA18565,02:01,05:01,0.982734569854071,0.00541937545331468
NA18566,03:01,05:01,0.936344539607898,0.000545125179269184
NA18567,02:01,04:02,0.972644247194276,4.48075986951567e-05
NA18570,02:02,03:01,0.497751217236477,1.07063795951057e-07
NA18571,02:01,04:01,0.905308017881451,0.000377844442290188
NA18572,04:01,14:01,0.91285911004363,0.000122542008421738
NA18573,02:02,05:01,0.977291089136763,0.000684474819848269
NA18574,05:01,17:01,0.994236740557583,0.000797803452005576
NA18577,02:01,02:01,0.963632323216103,0.000351953028859762
NA18579,04:01,05:01,0.985609316905539,0.000500412983680358
NA18582,04:01,05:01,0.993363006333344,0.00324969407802941
NA18591,02:01,02:01,0.857448094691897,0.000328930571995521
NA18592,03:01,05:01,0.90650113443837,0.000754993989362415
NA18593,02:01,05:01,0.979503598901844,0.00240042184880309
NA18595,05:01,15:01,0.989589736972337,8.98239464353713e-05
NA18596,02:01,14:01,0.960268922176924,9.85883921719225e-05
NA18597,04:01,13:01,0.899550789933985,0.000314414617502743
NA18599,05:01,19:01,0.989363846953506,9.49484330611851e-05
NA18602,02:02,05:01,0.612916392265466,1.59987051848849e-06
NA18603,05:01,05:01,0.984400250195416,0.00127274996730109
NA18605,02:01,13:01,0.967338504304692,5.55761349586678e-06
NA18606,05:01,05:01,0.518287960034765,0.000120892294810225
NA18608,02:01,05:01,0.967041583082963,0.0026548442386601
NA18609,04:01,13:01,0.988736319149512,6.15121738343293e-05
